genes,symbol,HNSC_logFC,HNSC_AveExpr,HNSC_t,HNSC_P.Value,HNSC_adj.P.Val,HNSC_B,HNSC_stdev,KIRP_logFC,KIRP_AveExpr,KIRP_t,KIRP_P.Value,KIRP_adj.P.Val,KIRP_B,KIRP_stdev,LIHC_logFC,LIHC_AveExpr,LIHC_t,LIHC_P.Value,LIHC_adj.P.Val,LIHC_B,LIHC_stdev
ENSG00000000003.15,TSPAN6,-0.68076602,4.711517214,-1.243421224,0.214838886,0.414205059,-5.365597832,0.561587652,-0.174448755,5.320824003,-0.420056327,0.676048279,0.945678146,-4.954804455,0.694427834,-0.137108702,5.971086803,-0.5200394,0.603604594,0.729649134,-6.0936234,0.376820689
ENSG00000000419.13,DPM1,-0.446615917,6.651795432,-1.364818714,0.173496523,0.371970722,-5.312182318,0.620749135,-0.190915086,5.894775179,-0.5951528,0.554133764,0.925433483,-4.911054667,0.387374275,-0.39469001,5.8899134,-1.810675631,0.071674352,0.168901381,-4.653874075,0.259726088
ENSG00000000938.13,FGR,-1.191203642,3.037761985,-1.489618184,0.137543426,0.333779577,-4.801491992,0.486973189,-0.54999023,3.582109472,-0.771339367,0.443741571,0.911241318,-4.787942773,0.475487346,-0.641791912,1.835305231,-1.763028633,0.079405162,0.181472369,-4.346794797,0.283333478
ENSG00000000971.16,CFH,-1.477842674,4.626523765,-1.839710996,0.06695698,0.236928734,-4.427150016,0.409175143,-0.896973894,3.280512677,-0.777050561,0.440392209,0.911241318,-4.750958682,0.389268169,-0.82626114,8.520211404,-2.336069183,0.02046643,0.073885264,-3.572142254,0.610895702
ENSG00000001036.14,FUCA2,-0.557923488,5.319496815,-1.67957641,0.094247629,0.280417588,-4.806125366,0.399774933,0.142255885,6.364225408,0.473154113,0.63793854,0.938548511,-4.953866896,0.379114282,-0.076235545,5.763254269,-0.277866646,0.781398438,0.861765125,-6.187783746,0.41609848
ENSG00000001084.13,GCLC,0.580868021,4.529009583,0.87660991,0.38151226,0.566085711,-5.786343275,0.667632613,-0.795219233,3.838570348,-1.504552354,0.138046926,0.911241318,-4.382060628,0.864240626,-0.736419295,4.819574273,-2.506518841,0.012979928,0.05488375,-3.224007309,0.25253802
ENSG00000001167.14,NFYA,-0.873474092,4.658412427,-2.157344551,0.031900318,0.173154107,-3.885066825,0.539004898,-0.632392161,4.257598266,-1.322289391,0.191435895,0.911241318,-4.511313945,0.45186617,-0.751379747,3.722432871,-2.321003756,0.021282577,0.075817102,-3.594350735,0.253740931
ENSG00000001497.18,LAS1L,-0.074012325,3.79057964,-0.251874776,0.801337943,0.877770091,-6.027177263,0.387294859,-0.175344235,3.352137308,-0.630072188,0.53120459,0.924860547,-4.832321924,0.594793226,0.098324155,3.339622081,0.47296633,0.636746993,0.755230649,-6.045938544,0.477528253
ENSG00000001561.7,ENPP4,-1.115292742,1.571859682,-1.29801395,0.195439221,0.394472491,-4.942692682,0.585165782,-0.801174364,4.259935662,-1.527853577,0.13216609,0.911241318,-4.36210664,0.435552983,-0.835017945,2.986787306,-1.751580834,0.081360988,0.184909833,-4.566114818,0.263038837
ENSG00000001617.12,SEMA3F,-0.463026197,6.068942457,-1.117260074,0.264920227,0.462481732,-5.593727704,0.39093087,-0.057130466,4.140985219,-0.069138603,0.945125065,0.990924057,-4.972232353,0.546807071,-0.455612521,3.499757092,-1.851030854,0.065622555,0.159548402,-4.514052413,0.409854872
