genes,symbol,average_foldchange,DLBC,LUAD,BRCA,ACC,SARC,CESC,LIHC,KIRC,PCPG,BLCA,READ,UCEC,LUSC,UCS,KICH,OV,THCA,KIRP,UVM,HNSC,Description,Protein Functions (ChatGPT),Disease & Drugs (ChatGPT),Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Drug (DrugBank),"Canonical Pathways
","Hallmark Gene Sets
"
ENSG00000229807.12,XIST,-4.202241601,-4.449451018,-4.065976626,-4.64076748,-3.415597221,-4.83144717,-4.319267684,-4.329579541,-3.933493176,-4.055263409,-4.010694438,-3.675599254,-4.216968397,-3.801413945,-4.745562756,-4.124248029,-4.373820515,-4.713931836,-4.6580055,-4.201530549,-3.482213478,X inactive specific transcript,,,GO:2000627 positive regulation of miRNA catabolic process;GO:0000512 lncRNA-mediated post-transcriptional gene silencing;GO:2000625 regulation of miRNA catabolic process,,,,,,(M5935)HALLMARK FATTY ACID METABOLISM
ENSG00000135720.13,DYNC1LI2,-0.885021062,-1.734872667,-1.013751037,-1.047721576,-0.979360919,-1.318237343,-0.819831818,-1.027543372,-0.474458793,-1.125565432,-0.398230088,-0.957735277,-0.909906053,-0.900033608,-1.072800377,-0.428739873,-0.587460143,-0.980457267,-0.655117218,-1.006695453,-0.261902929,dynein cytoplasmic 1 light intermediate chain 2,"DYNC1LI2 is a gene that encodes for the dynein cytoplasmic 1 light intermediate chain 2 protein. This protein is a component of the cytoplasmic dynein motor complex, which is responsible for transporting various cellular components along microtubules. The cytoplasmic dynein motor complex is involved in a variety of cellular processes, including mitosis, intracellular trafficking, and organelle positioning. Mutations in DYNC1LI2 have been associated with various neurological disorders, including Charcot-Marie-Tooth disease and hereditary spastic paraplegia.","Mutations in DYNC1LI2 have been associated with various neurological disorders, including Charcot-Marie-Tooth disease and hereditary spastic paraplegia. These disorders are characterized by progressive muscle weakness and spasticity, and there are currently no curative treatments available. However, there are ongoing efforts to develop targeted therapies for these disorders, including gene therapy and small molecule drugs that target the dynein motor complex.

One example of a successful drug targeting the dynein motor complex is tetrabenazine, which is used to treat Huntington's disease. Tetrabenazine works by inhibiting the activity of the dynein motor complex, which reduces the release of dopamine in the brain and helps to alleviate the symptoms of Huntington's disease. Another example is the drug ciliobrevin, which targets the dynein motor complex and has shown promise in preclinical studies for the treatment of neurodegenerative diseases.

Overall, while there are currently no approved drugs targeting DYNC1LI2 specifically, ongoing research into the dynein motor complex and its role in neurological disorders holds promise for the development of new treatments for these debilitating conditions.",GO:0051642 centrosome localization;GO:0061842 microtubule organizing center localization;GO:1990090 cellular response to nerve growth factor stimulus,,Predicted intracellular proteins,Centrosome;End piece (Approved); Additional: Cytosol,,,
ENSG00000197976.12,AKAP17A,-0.784678747,-0.997854881,-0.75884419,-0.388367801,-0.741968794,-0.947694256,-0.841236655,-0.833781673,-0.299850706,-0.486218778,-0.420941715,-0.460092622,-0.580707482,-1.21007434,-1.284757185,-0.364078706,-1.21876195,-0.808146484,-0.645028648,-1.233384235,-1.171783839,A-kinase anchoring protein 17A,"AKAP17A is a gene that encodes a protein called A-kinase anchoring protein 17A. This protein is involved in regulating alternate splicing in some mRNA precursors as part of the spliceosome complex. Alternate splicing is a process that allows a single gene to produce multiple protein variants, which can have different functions. Different variants of AKAP17A have been identified due to alternative splicing.","There is limited information available on the disease implications of AKAP17A. However, recent studies have suggested that mutations in this gene may be associated with certain types of cancer, including breast cancer and lung cancer. Targeted drug discovery efforts for AKAP17A are still in the early stages, but there is potential for this protein to be targeted in cancer therapy. One example of a successful drug targeting a related protein is the drug Sorafenib, which targets the protein kinase RAF, a member of the same signaling pathway as AKAP17A. Sorafenib is used to treat advanced kidney cancer and liver cancer. However, further research is needed to determine the potential of AKAP17A as a drug target and to develop effective therapies.",GO:0043484 regulation of RNA splicing;GO:0042113 B cell activation;GO:0008380 RNA splicing,,Predicted intracellular proteins,Nuclear speckles (Supported); Additional: Cytosol,,,
ENSG00000144674.16,GOLGA4,-0.735403853,-1.218655884,-0.996245817,-0.811986313,-1.237208465,-0.703790132,-0.682361542,-0.87714403,-0.355295606,-1.038396282,-0.026002106,-1.264124338,-0.198974654,-0.572378063,-0.299517112,-0.829347376,-0.458036311,-0.847762396,-0.329919652,-1.285034911,-0.675896065,golgin A4,"GOLGA4, also known as golgin A4, is a gene that encodes for a protein belonging to the golgin family of proteins localized to the Golgi apparatus. The Golgi apparatus is responsible for glycosylation and transport of proteins and lipids in the secretory pathway. GOLGA4 has been postulated to play a role in Rab6-regulated membrane-tethering events in the Golgi apparatus, which are important for the reorganization of the Golgi after it fragments during mitosis. Different isoforms of GOLGA4 have been identified through alternative splicing of its transcript variants.","There is limited information available on the disease implications of GOLGA4. However, recent studies have suggested that mutations in GOLGA4 may be associated with neurodevelopmental disorders such as autism spectrum disorder (ASD) and intellectual disability (ID). Targeted drug discovery efforts for GOLGA4 are currently limited due to the lack of understanding of its exact function and role in disease. However, some studies have suggested that targeting the Golgi apparatus and its associated proteins may have therapeutic potential for certain diseases, including cancer. There are currently no drugs on the market that specifically target GOLGA4, but there are drugs that target the Golgi apparatus and its associated proteins, such as brefeldin A, which is used to treat certain types of cancer. Further research is needed to fully understand the role of GOLGA4 in disease and to develop targeted therapies.",GO:0043001 Golgi to plasma membrane protein transport;GO:0045773 positive regulation of axon extension;GO:0061951 establishment of protein localization to plasma membrane,,Predicted intracellular proteins,Golgi apparatus (Supported); Additional: Nucleoplasm,,,(M5910)HALLMARK PROTEIN SECRETION
ENSG00000104133.15,SPG11,-0.725228948,-0.599808522,-0.77078176,-1.318099998,-1.077293517,-0.737391706,-0.631824589,-0.871547975,-0.10763362,-0.261460843,-0.849502061,-1.036775063,-1.13757566,-0.936044772,-0.881096071,-0.505488482,-0.554816983,-0.822250897,-0.623323113,-0.073440557,-0.708422764,"SPG11 vesicle trafficking associated, spatacsin","SPG11 is a human gene that encodes a potential transmembrane protein that is phosphorylated upon DNA damage. Mutations in this gene have been linked to spastic paraplegia type 11 (SPG11), a rare genetic disorder characterized by progressive muscle weakness and stiffness in the legs. The protein encoded by SPG11 is involved in vesicle trafficking and is thought to play a role in the maintenance of neuronal function. Multiple transcript variants of the gene have been identified, each encoding a different isoform of the protein. Further research is needed to fully understand the function of SPG11 and its role in the development of SPG11.","There are currently no targeted drug discovery efforts for SPG11, as the underlying mechanisms of the disease are not fully understood. Treatment for SPG11 is primarily supportive and focused on managing symptoms such as muscle weakness and spasticity. Physical therapy and assistive devices such as braces or wheelchairs may also be recommended. There are no drugs specifically approved for the treatment of SPG11, but some medications used to manage spasticity and muscle stiffness may be prescribed. Examples include baclofen, tizanidine, and diazepam. However, these medications only provide symptomatic relief and do not address the underlying cause of the disease. Further research is needed to develop targeted therapies for SPG11.",GO:0090386 phagosome maturation involved in apoptotic cell clearance;GO:0090387 phagolysosome assembly involved in apoptotic cell clearance;GO:0090389 phagosome-lysosome fusion involved in apoptotic cell clearance,,Disease related genes; Human disease related genes:Nervous system diseases:Neurodegenerative diseases; Predicted intracellular proteins; Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases,Cytosol;Plasma membrane (Supported); Additional: Nucleoli,,,
ENSG00000215301.11,DDX3X,-0.723251658,-1.149664248,-0.520570779,-0.80099157,-0.691033002,-0.795932331,-0.655200998,-0.915143401,-0.63942611,-0.575757774,-0.901491541,-1.089192869,-0.501721213,-0.507004387,-0.938410514,-0.906300704,-0.487421688,-0.703165925,-0.607824371,-0.624746542,-0.454033201,DEAD-box helicase 3 X-linked,"DDX3X is a gene that encodes a protein belonging to the DEAD-box protein family, which has ATP-dependent RNA helicase activity. Unlike most DEAD-box helicases, DDX3X's ATPase activity is stimulated by both RNA and DNA. The protein has multiple conserved domains and is thought to play roles in both the nucleus and cytoplasm. In the nucleus, it is involved in transcriptional regulation, mRNP assembly, pre-mRNA splicing, and mRNA export. In the cytoplasm, it is involved in translation, cellular signaling, and viral replication. Misregulation of this gene has been implicated in tumorigenesis. DDX3X has a paralog located in the nonrecombining region of the Y chromosome, and pseudogenes sharing similarity to both this gene and the DDX3Y paralog are found on chromosome 4 and the X chromosome.","DDX3X has been implicated in various diseases, including cancer, viral infections, and neurological disorders. In cancer, DDX3X has been shown to be overexpressed in several types of tumors, including breast, lung, and liver cancer, and its overexpression is associated with poor prognosis. Targeting DDX3X has been explored as a potential therapeutic strategy for cancer, and several small molecule inhibitors have been developed that target its ATPase activity. One example is RK-33, which has been shown to inhibit the growth of breast cancer cells in vitro and in vivo. In viral infections, DDX3X plays a critical role in the replication of several viruses, including HIV, hepatitis C virus, and Zika virus. Targeting DDX3X has been explored as a potential antiviral strategy, and several small molecule inhibitors have been developed that show promising activity against these viruses. One example is DDX3X-IN-1, which has been shown to inhibit the replication of HIV and hepatitis C virus in vitro. In neurological disorders, DDX3X mutations have been identified in patients with intellectual disability, autism spectrum disorder, and other neurodevelopmental disorders. However, there are currently no targeted drug discovery efforts for these disorders.",GO:0034159 regulation of toll-like receptor 8 signaling pathway;GO:0034161 positive regulation of toll-like receptor 8 signaling pathway;GO:0034157 positive regulation of toll-like receptor 7 signaling pathway,,Predicted intracellular proteins; Human disease related genes:Other diseases:Mental and behavioural disorders; Potential drug targets; Disease related genes; ENZYME proteins:Hydrolases; Enzymes; Transporters:Transporter channels and pores; Cancer-related genes:Mutated cancer genes,Cytosol (Enhanced),,,
ENSG00000163349.22,HIPK1,-0.71463097,-1.43408524,-0.836066142,-1.036766275,-1.005247704,-0.589557418,-0.47368637,-0.951095106,-0.644662045,-0.32802711,-0.603132347,-0.590412539,-0.715954866,-1.063369446,-0.913775964,-0.618785078,-0.83022258,-0.486733241,-0.32833801,-0.241333825,-0.601368103,homeodomain interacting protein kinase 1,"HIPK1 is a gene that encodes a protein kinase belonging to the HIPK subfamily. This protein is involved in phosphorylating homeodomain transcription factors and may also act as a co-repressor for these factors. Alternative splicing of the gene results in four different transcript variants, each encoding a distinct isoform of the protein.","HIPK1 has been implicated in various diseases, including cancer, neurodegenerative disorders, and cardiovascular diseases. In cancer, HIPK1 has been shown to play a role in tumor suppression by regulating the activity of p53, a tumor suppressor protein. In neurodegenerative disorders, HIPK1 has been linked to the pathogenesis of Huntington's disease and Alzheimer's disease. In cardiovascular diseases, HIPK1 has been shown to regulate the expression of genes involved in vascular smooth muscle cell proliferation and migration.

Targeted drug discovery efforts for HIPK1 have focused on developing small molecule inhibitors that can selectively target the kinase activity of HIPK1. Several compounds have been identified that can inhibit HIPK1 activity, including CGP60474, LB9, and LB25. These compounds have shown promising results in preclinical studies, demonstrating their potential as therapeutic agents for various diseases.

One example of a successful drug on the market that targets a related protein is Imatinib, which targets the BCR-ABL fusion protein in chronic myeloid leukemia. Imatinib has revolutionized the treatment of this disease and has been approved by the FDA since 2001. However, there are currently no drugs on the market that specifically target HIPK1, highlighting the need for further research and drug development efforts in this area.",GO:0060235 lens induction in camera-type eye;GO:0060059 embryonic retina morphogenesis in camera-type eye;GO:0061072 iris morphogenesis,yes,Enzymes; Kinases:CMGC Ser/Thr protein kinases; Predicted intracellular proteins; ENZYME proteins:Transferases,Basal body;Cytosol;Nucleoplasm (Supported); Additional: Centrosome,,,
ENSG00000126012.12,KDM5C,-0.672587723,-1.18368416,-0.773241607,-0.573566392,-0.834419098,-0.507480963,-0.817084906,-0.709252669,-0.483046436,-0.318211595,-0.375417018,-0.492605109,-0.595858756,-0.915567547,-1.002761782,-0.483935726,-0.67277068,-0.64927668,-0.607815753,-0.571951528,-0.883806052,lysine demethylase 5C,"KDM5C is a human gene that encodes a protein with various domains, including ARID, JmjC, JmjN, and PHD-type zinc fingers. The protein is involved in regulating transcription and chromatin remodeling, indicating its role in gene expression. Mutations in KDM5C have been linked to X-linked cognitive disability, a condition characterized by intellectual disability and developmental delays. Alternative splicing of the gene results in multiple transcript variants.","Mutations in KDM5C have been linked to X-linked intellectual disability (XLID), a condition that affects cognitive function and development. XLID is a genetically heterogeneous disorder, and KDM5C mutations account for approximately 5% of cases. Targeted drug discovery efforts for KDM5C-related XLID are still in the early stages, but there is potential for epigenetic therapies that target the protein's histone demethylase activity. Currently, there are no drugs specifically targeting KDM5C-related XLID on the market. However, there are drugs that target other forms of intellectual disability, such as Risperdal and Abilify, which are used to treat symptoms of autism spectrum disorder and schizophrenia. These drugs act on neurotransmitter systems in the brain and can improve cognitive function and behavior in some patients.",GO:0009636 response to toxic substance;GO:0048511 rhythmic process;GO:0006338 chromatin remodeling,,Predicted intracellular proteins; Transcription factors:Helix-turn-helix domains; Human disease related genes:Other diseases:Mental and behavioural disorders; ENZYME proteins:Oxidoreductases; Potential drug targets; Disease related genes; Enzymes; Cancer-related genes:Mutated cancer genes; Cancer-related genes:Mutational cancer driver genes,Nucleoplasm (Enhanced); Additional: Cytosol,,,
ENSG00000078674.18,PCM1,-0.620503828,-0.956987086,-0.818784486,-0.912542368,-0.480580026,-0.657056623,-0.57750943,-0.590279133,-0.400347178,-0.593202255,-0.720243506,-1.40281728,-0.37605648,-0.419286647,-0.993383085,-0.497668209,-0.245030951,-0.433429188,-0.194244629,-1.11588219,-0.024745802,pericentriolar material 1,"The PCM1 gene encodes a protein that is a component of centriolar satellites, which are granules found around centrosomes. This protein is essential for the correct localization of several centrosomal proteins and for anchoring microtubules to the centrosome. Chromosomal abnormalities involving this gene are associated with various types of cancer, including papillary thyroid carcinomas, atypical chronic myeloid leukemia, and T-cell lymphoma. Multiple transcript variants encoding different isoforms have been identified for this gene.","There is limited information available on targeted drug discovery efforts for the PCM1 gene. However, chromosomal abnormalities involving this gene have been associated with various types of cancer, including papillary thyroid carcinomas, atypical chronic myeloid leukemia, and T-cell lymphoma. Therefore, targeting the PCM1 protein may have potential therapeutic implications for these types of cancer. Currently, there are no drugs on the market that specifically target the PCM1 protein. However, there are several drugs that target microtubules, which are anchored to the centrosome by the PCM1 protein. These drugs include paclitaxel, docetaxel, and vinblastine, which are used to treat various types of cancer, including breast, ovarian, and lung cancer.",GO:0140706 protein-containing complex localization to centriolar satellite;GO:0022027 interkinetic nuclear migration;GO:0035735 intraciliary transport involved in cilium assembly,,Disease related genes; Cancer-related genes:Mutational cancer driver genes; Predicted intracellular proteins,Basal body;Centriolar satellite;Microtubules;Primary cilium (Supported); Additional: Cytosol,,,(M5893)HALLMARK MITOTIC SPINDLE
ENSG00000181555.21,SETD2,-0.567441128,-0.590968595,-0.537420112,-0.747861593,-1.31001145,-0.550902389,-0.763646472,-0.645264777,-0.251326864,-0.602374933,-0.178525347,-0.610191927,-0.439516541,-0.459527313,-0.915293824,-0.508025713,-0.398926556,-0.350995116,-0.2056974,-0.851200835,-0.431144806,"SET domain containing 2, histone lysine methyltransferase","SETD2 is a human gene that encodes a histone lysine methyltransferase, which is specific for lysine-36 of histone H3. Methylation of this residue is associated with active chromatin. The protein also contains a novel transcriptional activation domain and has been found associated with hyperphosphorylated RNA polymerase II. This gene is a member of a class of huntingtin interacting proteins characterized by WW motifs. Mutations in SETD2 have been associated with several types of cancer, including clear cell renal cell carcinoma, leukemia, and breast cancer. The gene has also been implicated in the development of Huntington's disease, a neurodegenerative disorder characterized by loss of striatal neurons.","SETD2 mutations have been identified in several types of cancer, including clear cell renal cell carcinoma, leukemia, and breast cancer. These mutations are associated with poor prognosis and resistance to chemotherapy. Therefore, targeting SETD2 has emerged as a potential therapeutic strategy for cancer treatment. Several small molecule inhibitors of SETD2 have been developed and tested in preclinical studies, including UNC0379 and UNC0638. These inhibitors have shown promising results in reducing tumor growth and increasing sensitivity to chemotherapy in preclinical models. However, no SETD2 inhibitors have been approved for clinical use yet. In addition to cancer, SETD2 has also been implicated in the development of Huntington's disease, a neurodegenerative disorder. However, there are currently no targeted drug discovery efforts for SETD2 in the context of Huntington's disease.",GO:0035441 cell migration involved in vasculogenesis;GO:0018023 peptidyl-lysine trimethylation;GO:0010793 regulation of mRNA export from nucleus,,Predicted intracellular proteins; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; ENZYME proteins:Transferases; Potential drug targets; Disease related genes; Enzymes; Cancer-related genes:Mutated cancer genes; Cancer-related genes:Mutational cancer driver genes,Nuclear speckles (Approved); Additional: Cytosol,,,
