genes,symbol,average_foldchange,UCS,THYM,BRCA,LGG,THCA,UVM,LIHC,KIRP,PCPG,BLCA,CESC,SARC,GBM,HNSC,ACC,UCEC,PAAD,COAD,Description,Protein Functions (ChatGPT),Disease & Drugs (ChatGPT),Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Drug (DrugBank),"Canonical Pathways
","Hallmark Gene Sets
"
ENSG00000229807.12,XIST,-4.08077123,-5.057325187,-4.645792202,-4.491314896,-4.388193567,-4.327528508,-2.683513745,-3.877021876,-4.4716271,-3.379451427,-4.693466412,-4.323137778,-4.345706391,-3.644861674,-3.296875317,-3.48547502,-4.18574486,-4.212859112,-3.94398707,X inactive specific transcript,,,GO:2000627 positive regulation of miRNA catabolic process;GO:0000512 lncRNA-mediated post-transcriptional gene silencing;GO:2000625 regulation of miRNA catabolic process,,,,,,(M5935)HALLMARK FATTY ACID METABOLISM
ENSG00000135720.13,DYNC1LI2,-2.112273196,-5.580704064,-3.493739004,-2.432730003,-3.255735045,-2.282893862,-2.360689069,-2.177457035,-1.505576249,-2.689299169,-2.344933722,-1.398528636,-1.410736723,-1.102421564,-1.684252117,-1.303905293,-1.236429641,-1.155773056,-0.605113282,dynein cytoplasmic 1 light intermediate chain 2,"DYNC1LI2 is a gene that encodes for the dynein cytoplasmic 1 light intermediate chain 2 protein. This protein is a component of the cytoplasmic dynein motor complex, which is responsible for transporting various cellular components along microtubules. The cytoplasmic dynein motor complex is involved in a variety of cellular processes, including mitosis, intracellular trafficking, and organelle positioning. Mutations in DYNC1LI2 have been associated with various neurological disorders, including Charcot-Marie-Tooth disease and hereditary spastic paraplegia.","Mutations in DYNC1LI2 have been associated with various neurological disorders, including Charcot-Marie-Tooth disease and hereditary spastic paraplegia. These disorders are characterized by progressive muscle weakness and spasticity, and there are currently no curative treatments available. However, there are ongoing efforts to develop targeted therapies for these disorders, including gene therapy and small molecule drugs that target the dynein motor complex.

One example of a successful drug targeting the dynein motor complex is tetrabenazine, which is used to treat Huntington's disease. Tetrabenazine works by inhibiting the activity of the dynein motor complex, which reduces the release of dopamine in the brain and helps to alleviate the symptoms of Huntington's disease. Another example is the drug ciliobrevin, which targets the dynein motor complex and has shown promise in preclinical studies for the treatment of neurodegenerative diseases.

Overall, while there are currently no approved drugs targeting DYNC1LI2 specifically, ongoing research into the dynein motor complex and its role in neurological disorders holds promise for the development of new treatments for these debilitating conditions.",GO:0051642 centrosome localization;GO:0061842 microtubule organizing center localization;GO:1990090 cellular response to nerve growth factor stimulus,,Predicted intracellular proteins,Centrosome;End piece (Approved); Additional: Cytosol,,,
ENSG00000207554.1,MIR647,-1.887455986,-4.713488314,-2.739627302,-1.598741529,-1.904974155,-2.294552644,-2.334730299,-0.787409417,-1.014563363,-0.838763445,-2.77674385,-0.872787275,-1.880819454,-3.463532337,-2.85687779,-0.059150283,-1.163517072,-1.932710398,-0.741218822,microRNA 647,,,,,,,,,
ENSG00000125107.18,CNOT1,-1.760856257,-4.153461572,-2.632161158,-2.222171972,-2.807947167,-1.95852821,-0.936228122,-2.019437098,-1.312108329,-2.397756753,-2.285711514,-1.366062706,-1.263242408,-1.012326842,-1.06078516,-1.594089446,-1.29288985,-1.220786458,-0.15971787,CCR4-NOT transcription complex subunit 1,"CNOT1 is a human gene that encodes the CCR4-NOT transcription complex subunit 1. It plays a role in various biological processes, including negative regulation of signal transduction, positive regulation of cytoplasmic mRNA processing body assembly, and regulation of gene expression. CNOT1 is located in the P-body and cytosol and is part of the CCR4-NOT complex. It contributes to poly(A)-specific ribonuclease activity and has molecular adaptor activity and nuclear receptor binding activity. CNOT1 has been implicated in holoprosencephaly, a developmental disorder that affects the brain and face.","CNOT1 has been implicated in several diseases, including cancer, neurodegenerative disorders, and developmental disorders such as holoprosencephaly. In cancer, CNOT1 has been shown to be overexpressed in various types of tumors, including breast, lung, and liver cancer, and is associated with poor prognosis. Targeting CNOT1 has been proposed as a potential therapeutic strategy for cancer treatment. However, there are currently no drugs specifically targeting CNOT1 on the market. 

There have been some successful drug discovery efforts targeting other components of the CCR4-NOT complex, such as the CCR4-NOT1 inhibitor KIN-1148, which has shown promising results in preclinical studies for the treatment of acute myeloid leukemia. Additionally, the CCR4-NOT complex inhibitor, TAK-981, is currently in clinical trials for the treatment of solid tumors and lymphomas. These drugs may indirectly affect CNOT1 activity, but more research is needed to determine their specific effects on CNOT1 and their potential for treating diseases associated with CNOT1 dysregulation.",GO:0010606 positive regulation of cytoplasmic mRNA processing body assembly;GO:0010603 regulation of cytoplasmic mRNA processing body assembly;GO:0048387 negative regulation of retinoic acid receptor signaling pathway,,Disease related genes; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Predicted intracellular proteins,Cytosol (Uncertain),,,
ENSG00000198752.11,CDC42BPB,-1.7491223,-4.647660295,-2.907435163,-2.024669863,-2.400005795,-1.920789268,-0.742377462,-1.989381518,-1.880907539,-1.806519801,-1.907136585,-1.537283893,-1.036643356,-1.283734406,-1.315944043,-1.437372244,-1.278961628,-1.261997772,-0.105380764,CDC42 binding protein kinase beta,"CDC42BPB is a gene that encodes a protein kinase, which belongs to the serine/threonine protein kinase family. The protein contains a domain that binds to Cdc42/Rac, similar to that of PAK kinase. The kinase domain of this protein is closely related to that of myotonic dystrophy kinase-related ROK. Research on the similar gene in rats suggests that this kinase may act as a downstream effector of Cdc42 in cytoskeletal reorganization. Overall, CDC42BPB plays a role in regulating cellular processes such as cytoskeletal organization and may be involved in diseases such as myotonic dystrophy.","Mutations in the CDC42BPB gene have been associated with myotonic dystrophy type 2 (DM2), a rare genetic disorder characterized by muscle weakness and wasting, as well as other symptoms such as cataracts, heart conduction defects, and insulin resistance. While there are currently no targeted drug discovery efforts specifically for CDC42BPB, there are several drugs on the market that have been approved for the treatment of myotonic dystrophy, including mexiletine, which is used to treat myotonia (muscle stiffness), and spironolactone, which has been shown to improve cardiac function in patients with DM2. Additionally, there are several drugs in development for the treatment of myotonic dystrophy, including antisense oligonucleotides and small molecule compounds that target the underlying genetic defect.",GO:0031032 actomyosin structure organization;GO:0007163 establishment or maintenance of cell polarity;GO:0006468 protein phosphorylation,yes,Predicted intracellular proteins; ENZYME proteins:Transferases; Potential drug targets; Disease related genes; Kinases:AGC Ser/Thr protein kinases; Enzymes,,,,
ENSG00000132155.13,RAF1,-1.540173393,-4.346775019,-2.698718421,-1.998740609,-2.297205402,-1.902677056,-0.26951366,-1.961351118,-1.476754391,-1.358467077,-1.781907921,-1.236326011,-1.210657395,-0.690831298,-0.909213779,-1.388008075,-1.085101411,-1.048457276,-0.062415153,"Raf-1 proto-oncogene, serine/threonine kinase","The RAF1 gene is a cellular homolog of the viral raf gene and encodes a MAP kinase kinase kinase (MAP3K) that functions downstream of the Ras family of membrane-associated GTPases. The protein binds directly to the Ras family and activates the dual specificity protein kinases MEK1 and MEK2, which in turn activate the serine/threonine specific protein kinases, ERK1 and ERK2. The activated ERKs play a crucial role in controlling gene expression involved in cell physiology, including cell division cycle, apoptosis, cell differentiation, and cell migration. Mutations in the RAF1 gene are associated with Noonan syndrome 5 and LEOPARD syndrome 2.","Mutations in the RAF1 gene have been linked to several genetic disorders, including Noonan syndrome 5 and LEOPARD syndrome 2. Noonan syndrome is a genetic disorder that affects various parts of the body, causing developmental abnormalities and an increased risk of certain cancers. LEOPARD syndrome is a rare genetic disorder that affects multiple systems in the body, including the skin, heart, and eyes. 

Targeted drug discovery efforts have focused on developing inhibitors of the RAF1 protein as a potential treatment for cancer. Several RAF inhibitors have been developed and tested in clinical trials, including sorafenib, vemurafenib, and dabrafenib. These drugs have shown promising results in the treatment of various types of cancer, including melanoma and thyroid cancer. However, the development of resistance to these drugs remains a challenge, and further research is needed to improve their efficacy.

In addition to cancer, RAF inhibitors have also been investigated as a potential treatment for other diseases, including neurofibromatosis type 1 (NF1) and Noonan syndrome. NF1 is a genetic disorder that causes tumors to grow on nerves throughout the body, and RAF inhibitors have shown promise in preclinical studies as a potential treatment for this condition. However, further research is needed to determine their safety and efficacy in humans.

Overall, the RAF1 gene and its protein product have important implications for human health and disease, and ongoing research efforts are focused on developing targeted therapies to treat a range of conditions associated with RAF1 mutations.",GO:0071550 death-inducing signaling complex assembly;GO:0038129 ERBB3 signaling pathway;GO:0038133 ERBB2-ERBB3 signaling pathway,yes,RAS pathway related proteins; Predicted intracellular proteins; Human disease related genes:Cardiovascular diseases:Cardiac diseases; Kinases:TKL Ser/Thr protein kinases; ENZYME proteins:Transferases; FDA approved drug targets:Small molecule drugs; Human disease related genes:Congenital malformations:Other congenital malformations; Disease related genes; Enzymes; Cancer-related genes:Candidate cancer biomarkers,Cytosol;Plasma membrane (Supported),Sorafenib; LErafAON; XL281; iCo-007; Cholecystokinin; Regorafenib; Dabrafenib; Fostamatinib,(M134)PID TCR RAS PATHWAY; (M199)PID P38 MK2 PATHWAY; (M1718)SIG IL4RECEPTOR IN B LYPHOCYTES,(M5923)HALLMARK PI3K AKT MTOR SIGNALING; (M5921)HALLMARK COMPLEMENT; (M5932)HALLMARK INFLAMMATORY RESPONSE
ENSG00000116539.14,ASH1L,-1.512939768,-6.117240557,-1.98349233,-1.986892942,-1.668887597,-1.465181933,-1.3404574,-1.405717468,-0.793739778,-1.203819537,-1.466024692,-0.93954596,-1.406525824,-1.150173665,-0.735973006,-1.292223603,-0.973704242,-0.768250317,-0.535064971,ASH1 like histone lysine methyltransferase,"ASH1L is a gene that belongs to the trithorax group of transcriptional activators. It encodes a protein that contains four AT hooks, a SET domain, a PHD-finger motif, and a bromodomain. The protein is found in many small speckles in the nucleus and also in cell-cell tight junctions. ASH1L is an ASH1-like histone lysine methyltransferase, which means it adds a methyl group to lysine residues on histone proteins, leading to changes in gene expression. The exact function of ASH1L is not fully understood, but it is thought to play a role in regulating gene expression during development and differentiation.","ASH1L has been implicated in several diseases, including cancer, developmental disorders, and neurological disorders. In cancer, ASH1L has been shown to be overexpressed in various types of tumors, including breast, lung, and liver cancer. This overexpression is associated with poor prognosis and increased tumor growth and metastasis. Therefore, ASH1L is being investigated as a potential therapeutic target for cancer treatment.

Several drug discovery efforts have been made to target ASH1L. One approach is to develop small molecule inhibitors that can block the activity of ASH1L. Another approach is to develop drugs that can target the protein-protein interactions involving ASH1L. These efforts have led to the identification of several potential drug candidates, some of which are currently in preclinical development.

One example of a successful drug targeting a histone methyltransferase is tazemetostat, which targets the EZH2 enzyme. EZH2 is overexpressed in several types of cancer, and tazemetostat has been approved by the FDA for the treatment of certain types of lymphoma and solid tumors. This success has encouraged further research into targeting other histone methyltransferases, including ASH1L, for the treatment of cancer and other diseases.",GO:1903699 tarsal gland development;GO:1903709 uterine gland development;GO:0061038 uterus morphogenesis,,Predicted intracellular proteins; Human disease related genes:Other diseases:Mental and behavioural disorders; ENZYME proteins:Transferases; Potential drug targets; Disease related genes; Enzymes,Golgi apparatus;Nucleoplasm (Supported),,,
ENSG00000103479.16,RBL2,-1.463906494,-1.690425227,-2.513413293,-1.777068863,-2.181058461,-1.954722839,-2.278941933,-2.221593156,-1.103852231,-1.850352948,-1.776858585,-0.984324759,-0.837862951,-0.68174139,-0.957958404,-1.006374945,-1.10975268,-1.064125558,-0.359888667,RB transcriptional corepressor like 2,"The human gene RBL2, also known as RB transcriptional corepressor like 2, is involved in regulating gene expression by enabling promoter-specific chromatin binding activity. It is also involved in the negative regulation of lipid kinase activity. RBL2 is located in the chromosome, cytosol, and nuclear lumen. Its exact role in gene regulation is still being studied, but it is believed to act upstream of or within the negative regulation of gene expression.","Mutations in the RBL2 gene have been associated with various types of cancer, including breast, lung, and bladder cancer. In breast cancer, RBL2 has been found to be downregulated, leading to increased cell proliferation and tumor growth. Targeted drug discovery efforts have focused on developing drugs that can restore RBL2 function or inhibit its downstream targets. One example is the drug palbociclib, which targets cyclin-dependent kinases (CDKs) that are downstream of RBL2 and are involved in cell cycle progression. Palbociclib has been approved by the FDA for the treatment of advanced breast cancer and has shown promising results in clinical trials for other types of cancer as well. Other drugs targeting CDKs or RBL2-related pathways are also being developed and tested in clinical trials.",GO:0043550 regulation of lipid kinase activity;GO:2000134 negative regulation of G1/S transition of mitotic cell cycle;GO:1902807 negative regulation of cell cycle G1/S phase transition,,Disease related genes; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Predicted intracellular proteins; Cancer-related genes:Candidate cancer biomarkers,Mitotic chromosome;Nucleoli rim;Nucleoplasm (Supported); Additional: Cytosol,,(M12771)SA PTEN PATHWAY; (M136)PID FOXO PATHWAY; (M40)PID E2F PATHWAY,
ENSG00000095564.14,BTAF1,-1.423769603,-2.438734924,-1.921692112,-1.923161811,-1.750534117,-1.910594233,-2.065708137,-1.524655701,-1.128812859,-1.007219276,-1.705661312,-1.065244003,-0.997104633,-1.688772463,-1.004466561,-0.877811295,-0.89691642,-1.578968446,-0.141794553,B-TFIID TATA-box binding protein associated factor 1,"BTAF1 is a gene that encodes a TAF protein, which is a component of the B-TFIID complex that is necessary for the initiation of gene transcription by RNA polymerase II. The TAF protein has ATPase activity that helps to release the TATA box-binding protein (TBP) from DNA, allowing it to bind to other TATA boxes or TATA-less promoters. This gene is important for regulating gene expression and mutations in BTAF1 have been associated with various diseases, including cancer and developmental disorders.","Mutations in the BTAF1 gene have been associated with various diseases, including cancer and developmental disorders. In particular, BTAF1 has been found to be overexpressed in several types of cancer, including breast, lung, and ovarian cancer. This overexpression has been linked to increased tumor growth and poor patient prognosis. As a result, there has been interest in developing drugs that target BTAF1 as a potential cancer therapy.

Several drug discovery efforts have focused on targeting BTAF1. One approach has been to develop small molecule inhibitors that can block the ATPase activity of the TAF protein. Another approach has been to develop RNA interference (RNAi) therapies that can specifically target and silence the BTAF1 gene. While there are currently no drugs on the market that specifically target BTAF1, there are several drugs that have been approved for the treatment of cancer that indirectly affect BTAF1 activity. For example, the chemotherapy drug cisplatin has been shown to downregulate BTAF1 expression in cancer cells, leading to decreased tumor growth.",GO:0035562 negative regulation of chromatin binding;GO:0035561 regulation of chromatin binding;GO:0051100 negative regulation of binding,,Predicted intracellular proteins,Nucleoplasm (Supported); Additional: Vesicles,,,
ENSG00000198563.14,DDX39B,-1.404630043,-3.175041854,-1.879325624,-1.216637386,-1.506785918,-1.57324956,-2.497846033,-1.013302773,-1.312450207,-0.65669734,-1.541199593,-1.037195697,-1.188021812,-2.364269233,-1.379537316,-0.231503259,-0.917841927,-1.129381875,-0.663053374,DExD-box helicase 39B,"DDX39B is a gene that encodes a protein belonging to the DEAD box family of RNA-dependent ATPases. This protein is essential for pre-mRNA splicing and is required for the association of U2 small nuclear ribonucleoprotein with pre-mRNA. It also plays a crucial role in mRNA export from the nucleus to the cytoplasm. DDX39B is located in the human major histocompatibility complex class III region, near the genes encoding tumor necrosis factor alpha and tumor necrosis factor beta. Mutations in this gene may be associated with rheumatoid arthritis. Alternative splicing results in multiple transcript variants, and related pseudogenes have been identified on both chromosomes 6 and 11.","Mutations in the DDX39B gene have been associated with several diseases, including rheumatoid arthritis, systemic lupus erythematosus, and multiple sclerosis. Targeted drug discovery efforts have focused on developing small molecule inhibitors of DDX39B to treat these diseases. One example is the drug E7107, which inhibits the ATPase activity of DDX39B and has shown promising results in preclinical studies for the treatment of multiple myeloma and acute myeloid leukemia. Another example is the drug Pladienolide B, which also inhibits DDX39B and has shown efficacy in preclinical studies for the treatment of various cancers, including breast cancer and lung cancer. However, more research is needed to fully understand the potential of targeting DDX39B for therapeutic purposes.",GO:0010501 RNA secondary structure unwinding;GO:0006406 mRNA export from nucleus;GO:0006405 RNA export from nucleus,,ENZYME proteins:Hydrolases; Enzymes; Transporters:Primary Active Transporters; Predicted intracellular proteins,Nuclear speckles (Enhanced),Artenimol,,
