genes,symbol,average_foldchange,DLBC,UVM,ACC,SARC,THYM,BRCA,BLCA,LIHC,CHOL,KICH,KIRP,LUSC,HNSC,KIRC,THCA,LUAD,GBM,PCPG,ESCA,LGG,PAAD,READ,COAD,STAD,Disease & Drugs (ChatGPT),Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Drug (DrugBank),"Canonical Pathways
","Hallmark Gene Sets
"
ENSG00000229807.12,XIST,-11.3286055,-10.71923,-12.7087,-11.10009,-12.12466,-11.35275,-12.79385,-11.9143,-11.90483,-12.21181,-11.80956,-11.64711,-11.37068,-11.1329,-10.86661,-11.12404,-11.19916,-7.914462,-11.04546,-11.65375,-11.37382,-11.40923,-10.5411,-10.88989,-11.07854,,,,,,,,(M5935)HALLMARK FATTY ACID METABOLISM
ENSG00000281183.1,NPTN-IT1,-1.253835688,-2.336999,-2.511134,-1.716464,-2.759602,-2.136587,-1.568534,-2.495882,-1.984861,-1.973109,-0.2226206,-1.096364,-0.7608896,-1.760866,-0.5604941,-0.5477588,-0.7658588,-1.61488,-0.7909101,-0.1393633,-0.579424,-0.5073417,-0.6216531,-0.4754966,-0.1649638,,,,,,,,
ENSG00000225470.8,JPX,-1.139845746,-1.834,-2.797197,-0.2503957,-1.586186,-1.458651,-1.850695,-1.755352,-1.505819,-1.016602,-0.5200222,-1.022422,-1.005351,-0.9958167,-0.8080462,-0.6889799,-1.211441,-1.735762,-0.9222796,-0.6866456,-0.7452174,-0.8239426,-0.6137005,-0.7944582,-0.7273153,,GO:0160164 negative regulation of chromatin looping;GO:1905268 negative regulation of chromatin organization;GO:1902275 regulation of chromatin organization,,,,,,
ENSG00000228906.1,AL353804.1,-1.120406163,-1.474584,-1.50024,-1.298925,-1.653838,-1.142687,-2.367269,-1.341018,-1.367099,-1.253781,-0.7269274,-1.092359,-1.167014,-0.9570925,-1.043656,-0.8669967,-0.9922772,-1.240611,-0.6946667,-0.5752624,-0.8575228,-0.9896311,-1.016911,-0.5734342,-0.6959449,None,None,None,None,None,None,None,None
ENSG00000267632.1,AC067852.3,-1.015937666,-2.249138,-1.953608,-1.400058,-1.597085,-1.335403,-1.026012,-2.046511,-1.391765,-0.7614363,-0.7737805,-1.052364,-0.8962706,-1.378081,-0.7502959,-0.4845812,-0.9238151,-1.608654,-0.4463272,-0.5602143,-0.4180672,-0.263133,-0.5481547,-0.4776873,-0.04006168,None,None,None,None,None,None,None,None
ENSG00000228492.2,RAB11FIP1P1,-1.013187976,-2.385595,-2.644238,-1.050176,-1.900284,-1.845406,-1.82055,-1.554393,-1.375707,-1.265706,-0.08818683,-1.061923,-0.551478,-1.145818,-0.4435381,-0.5472796,-0.6202295,-1.234885,-0.7458329,-0.2318427,-0.4060298,-0.5290482,-0.4458897,-0.3944358,-0.02803929,None,None,None,None,None,None,None,None
ENSG00000147050.16,KDM6A,-0.975515208,-1.555807,-1.28636,-1.644982,-1.043018,-1.24979,-1.02653,-0.9164253,-1.309178,-1.528909,-0.9827258,-0.9438427,-0.6023125,-0.8913245,-0.8799258,-0.8969038,-0.6716302,-0.7042481,-0.9914935,-0.782877,-0.7271161,-0.8012228,-0.6220313,-0.5918622,-0.7618494,"Mutations in KDM6A have been associated with several diseases, including Kabuki syndrome, a rare genetic disorder characterized by distinctive facial features, developmental delay, and other health problems. Additionally, KDM6A mutations have been found in various types of cancer, including bladder, breast, and ovarian cancer. Targeted drug discovery efforts have focused on developing inhibitors of KDM6A as a potential treatment for cancer. One example is GSK-J4, a small molecule inhibitor that has shown promising results in preclinical studies. Another example is CPI-455, a selective inhibitor of KDM6A that is currently in clinical trials for the treatment of acute myeloid leukemia. While there are currently no FDA-approved drugs targeting KDM6A, these efforts suggest that targeting this gene may hold promise for the treatment of certain diseases.",GO:0007507 heart development;GO:0006338 chromatin remodeling;GO:0006325 chromatin organization,,"Human disease related genes:Congenital malformations:Other congenital malformations; Disease related genes; Predicted intracellular proteins; Potential drug targets; Cancer-related genes:Mutated cancer genes; Cancer-related genes:Mutational cancer driver genes; Enzymes; Human disease related genes:Cancers:Cancers of eye, brain, and central nervous system; ENZYME proteins:Oxidoreductases",Nucleoli;Nucleoli rim (Approved); Additional: Nucleoplasm,,,
ENSG00000242588.6,AC108010.1,-0.943777238,-2.245178,-1.562239,-1.312181,-1.729103,-1.703236,-1.031102,-1.357176,-1.746508,-1.055079,-0.1661822,-0.9237758,-0.8591474,-1.137191,-0.5378877,-0.6196101,-0.4991554,-1.178984,-0.4841355,-0.545309,-0.4856756,-0.3514779,-0.5368662,-0.4047303,-0.1787236,None,None,None,None,None,None,None,None
ENSG00000247903.1,AC024896.1,-0.930839392,-2.364107,-2.229445,-0.9139468,-1.225745,-1.498942,-1.162647,-1.674695,-1.099435,-1.151147,-0.9291203,-0.7968213,-0.6134922,-1.246551,-0.6232997,-0.394654,-0.7664019,-1.452213,-0.7529108,-0.0473837,-0.3350073,-0.3716226,-0.1069377,-0.4577003,-0.1259198,None,None,None,None,None,None,None,None
ENSG00000254428.1,AP003392.1,-0.922828315,-1.557751,-1.982095,-0.9949718,-1.656109,-1.3444,-1.208014,-1.704186,-1.418842,-0.8753514,-0.1716288,-0.9843712,-0.8577357,-1.200569,-0.7017674,-0.3313337,-0.7591548,-1.623018,-0.6085248,-0.1874967,-0.3797587,-0.3413938,-0.4910914,-0.6700136,-0.09830177,None,None,None,None,None,None,None,None
ENSG00000278864.1,AC055811.4,-0.916919182,-2.233794,-2.175786,-1.532679,-1.229667,-1.544831,-1.37232,-1.329725,-1.188483,-0.3417073,-0.1895041,-0.9357492,-1.159703,-1.051135,-0.4939992,-0.4929031,-0.7135146,-1.399308,-0.7069013,-0.4268976,-0.4090823,-0.1853011,-0.4155692,-0.3923941,-0.08510627,None,None,None,None,None,None,None,None
