genes,baseID,symbol,average_foldchange,HNSC,LIHC,KIRP,Description,Protein Functions (ChatGPT),Disease & Drugs (ChatGPT),Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Drug (DrugBank),"Canonical Pathways
","Hallmark Gene Sets
"
ENSG00000129824.16,ENSG00000129824,RPS4Y1,-4.729783288,-5.210615101,-3.456007533,-5.522727229,ribosomal protein S4 Y-linked 1,"RPS4Y1 is a gene that encodes ribosomal protein S4, a component of the 40S subunit of cytoplasmic ribosomes. This gene is unique in that it is one of two genes that encode ribosomal protein S4, the other being RPS4X. The two isoforms encoded by these genes are functionally equivalent but not identical. Ribosomal protein S4 belongs to the S4E family of ribosomal proteins. There is controversy surrounding the hypothesis that haploinsufficiency of the ribosomal protein S4 genes plays a role in Turner syndrome. Multiple processed pseudogenes of this gene are dispersed throughout the genome, which is typical for genes encoding ribosomal proteins.","There is limited information on the disease implications of RPS4Y1. However, there is some evidence to suggest that haploinsufficiency of the ribosomal protein S4 genes, including RPS4Y1, may play a role in Turner syndrome, a genetic disorder that affects females and is characterized by short stature and other physical abnormalities. 

There are currently no targeted drug discovery efforts specifically focused on RPS4Y1. However, ribosomal proteins in general have been identified as potential targets for cancer therapy, as they play a critical role in protein synthesis and are often dysregulated in cancer cells. 

There are no drugs on the market that specifically target RPS4Y1. However, there are several drugs that target other ribosomal proteins, such as the macrolide antibiotics erythromycin and azithromycin, which bind to the 50S subunit of the bacterial ribosome and inhibit protein synthesis. Another example is the anticancer drug doxorubicin, which binds to the 70S ribosome and inhibits protein synthesis in cancer cells.",GO:0006412 translation;GO:0010467 gene expression;GO:0019538 protein metabolic process,,Ribosomal proteins; Predicted intracellular proteins,,,,
ENSG00000067048.17,ENSG00000067048,DDX3Y,-4.499443353,-5.069657137,-3.696520275,-4.732152646,DEAD-box helicase 3 Y-linked,"DDX3Y is a gene that encodes a protein belonging to the DEAD-box RNA helicase family. This protein is involved in ATP binding, hydrolysis, RNA binding, and intramolecular interactions. It is highly similar to DDX3X, a gene on the X chromosome, but a deletion of DDX3Y cannot be complemented by DDX3X. Mutations in DDX3Y can result in male infertility, a reduction in germ cell numbers, and Sertoli-cell only syndrome. Pseudogenes similar to DDX3Y and DDX3X are found on chromosome 4 and the X chromosome. Alternative splicing of DDX3Y results in multiple transcript variants encoding different isoforms.","DDX3Y has been implicated in male infertility and is a potential target for drug discovery efforts aimed at treating this condition. In particular, DDX3Y has been shown to play a critical role in spermatogenesis, and mutations in this gene have been associated with a reduction in germ cell numbers and Sertoli-cell only syndrome. While there are currently no drugs on the market that specifically target DDX3Y, there is ongoing research aimed at identifying small molecules that can modulate the activity of this protein. One example of a successful drug discovery effort targeting a related protein is the development of inhibitors of the related RNA helicase DDX3X, which have shown promise as potential treatments for a range of viral infections, including HIV, hepatitis C, and Zika virus.",GO:0140588 chromatin looping;GO:0007276 gamete generation;GO:0048609 multicellular organismal reproductive process,,Predicted intracellular proteins; Human disease related genes:Reproductive system diseases:Reproductive system diseases; Potential drug targets; Disease related genes; ENZYME proteins:Hydrolases; Enzymes,Cytosol (Enhanced),,,
ENSG00000198692.10,ENSG00000198692,EIF1AY,-3.955295731,-3.984250503,-3.916499198,-3.965137491,eukaryotic translation initiation factor 1A Y-linked,"EIF1AY is a gene located on the non-recombining region of the Y chromosome. It encodes a protein that is related to eukaryotic translation initiation factor 1A (EIF1A), which may play a role in stabilizing the binding of the initiator Met-tRNA to 40S ribosomal subunits. Alternative splicing of the gene results in multiple transcript variants.","EIF1AY is not currently known to be associated with any specific diseases. However, research has shown that it may play a role in the development and progression of certain cancers, including breast cancer and prostate cancer. Targeted drug discovery efforts for EIF1AY are currently limited, as the gene is located on the Y chromosome and is therefore only present in males. However, drugs targeting related proteins involved in translation initiation, such as eIF4E, are being developed for the treatment of cancer. Examples of successful drugs targeting translation initiation include ribociclib and palbociclib, which are used in combination with hormone therapy to treat certain types of breast cancer.",GO:0006413 translational initiation;GO:0006412 translation;GO:0010467 gene expression,,Predicted intracellular proteins,Cytosol (Approved),,,
ENSG00000012817.16,ENSG00000012817,KDM5D,-3.64977545,-4.010596847,-2.987837823,-3.95089168,lysine demethylase 5D,"KDM5D is a human gene that encodes a protein with zinc finger domains. It has been identified as a minor histocompatibility antigen, which means that it can cause graft rejection of male donor cells in a female recipient. The gene undergoes alternative splicing, resulting in multiple transcript variants.","There is limited information available on the disease implications of KDM5D. However, studies have suggested that alterations in the expression of KDM5D may be associated with certain types of cancer, including prostate cancer and breast cancer. Targeted drug discovery efforts for KDM5D are still in the early stages, but there is potential for the development of drugs that target the protein encoded by this gene. One example of a successful drug targeting a related protein is GSK-J4, which inhibits the activity of the KDM6 family of proteins. GSK-J4 has shown promise in preclinical studies for the treatment of certain types of cancer and inflammatory diseases. However, further research is needed to determine the potential of KDM5D as a therapeutic target and to develop effective drugs targeting this protein.",GO:0002457 T cell antigen processing and presentation;GO:0060765 regulation of androgen receptor signaling pathway;GO:0002456 T cell mediated immunity,,Transcription factors:Helix-turn-helix domains; Enzymes; ENZYME proteins:Oxidoreductases; Predicted intracellular proteins,Nucleoli fibrillar center (Approved),Ascorbic acid,,
ENSG00000131002.12,ENSG00000131002,TXLNGY,-3.010641666,-3.107110284,-2.52717503,-3.397639683,None,None,None,None,None,None,None,None,None,None
ENSG00000168542.16,ENSG00000168542,COL3A1,-2.329378225,-3.130039822,-1.84402022,-2.014074633,collagen type III alpha 1 chain,"COL3A1 is a gene that encodes for the pro-alpha1 chains of type III collagen, a type of fibrillar collagen found in extensible connective tissues such as skin, lung, uterus, intestine, and the vascular system. It is often found in association with type I collagen. Mutations in this gene have been linked to Ehlers-Danlos syndrome type IV, a genetic disorder that affects the connective tissues, as well as aortic and arterial aneurysms.","Mutations in the COL3A1 gene have been linked to several diseases, including Ehlers-Danlos syndrome type IV, a rare genetic disorder that affects the connective tissues and can lead to arterial and aortic aneurysms. There are currently no targeted drug discovery efforts for this gene, as treatment for Ehlers-Danlos syndrome type IV is primarily focused on managing symptoms and preventing complications. However, there are several drugs on the market that can be used to manage symptoms, such as pain and inflammation. These include nonsteroidal anti-inflammatory drugs (NSAIDs) like ibuprofen and naproxen, as well as opioids for severe pain. Additionally, physical therapy and surgery may be recommended to manage joint instability and prevent complications such as organ rupture.",GO:0032905 transforming growth factor beta1 production;GO:0071604 transforming growth factor beta production;GO:0060414 aorta smooth muscle tissue morphogenesis,,Predicted intracellular proteins; FDA approved drug targets:Biotech drugs; Predicted secreted proteins; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Human disease related genes:Congenital malformations:Congenital malformations of skin; Disease related genes,Endoplasmic reticulum (Approved),Collagenase clostridium histolyticum,(M3005)NABA COLLAGENS; (M198)PID SYNDECAN 1 PATHWAY; (M8)PID ENDOTHELIN PATHWAY,(M5944)HALLMARK ANGIOGENESIS; (M5942)HALLMARK UV RESPONSE DN; (M5909)HALLMARK MYOGENESIS
ENSG00000142798.20,ENSG00000142798,HSPG2,-2.187287775,-2.753565165,-2.259729177,-1.548568985,heparan sulfate proteoglycan 2,"HSPG2, also known as perlecan, is a gene that encodes a large multidomain proteoglycan. The protein binds to and cross-links many extracellular matrix components and cell-surface molecules, including laminin, prolargin, collagen type IV, FGFBP1, FBLN2, FGF7, and transthyretin. It plays essential roles in multiple biological activities, including maintaining the endothelial barrier function, inhibiting smooth muscle cell proliferation, promoting endothelial growth and regeneration, stabilizing other molecules in basement membranes, and regulating glomerular permeability to macromolecules and cell adhesion. Mutations in this gene can cause Schwartz-Jampel syndrome type 1, Silverman-Handmaker type of dyssegmental dysplasia, and tardive dyskinesia. Alternative splicing of this gene results in multiple transcript variants.","Mutations in the HSPG2 gene have been associated with several diseases, including Schwartz-Jampel syndrome type 1, Silverman-Handmaker type of dyssegmental dysplasia, and tardive dyskinesia. Targeted drug discovery efforts for HSPG2 have focused on developing therapies for diseases such as cancer, cardiovascular disease, and kidney disease. One example is the development of a monoclonal antibody that targets perlecan, the protein encoded by HSPG2, to inhibit tumor growth and metastasis in breast cancer. Another example is the use of a small molecule inhibitor of perlecan to prevent the development of atherosclerosis in animal models. However, there are currently no drugs on the market that specifically target HSPG2.",GO:1905907 negative regulation of amyloid fibril formation;GO:1905906 regulation of amyloid fibril formation;GO:0007566 embryo implantation,,Human disease related genes:Musculoskeletal diseases:Muscular diseases; Predicted intracellular proteins; Predicted secreted proteins; Human disease related genes:Congenital malformations:Congenital malformations of the musculoskeletal system; Disease related genes,,Palifermin,(M5882)NABA PROTEOGLYCANS; (M5887)NABA BASEMENT MEMBRANES; (M5884)NABA CORE MATRISOME,
ENSG00000225630.1,ENSG00000225630,MTND2P28,-2.099833509,-2.490584778,-1.757535924,-2.051379826,MT-ND2 pseudogene 28,,,,,,,,,
ENSG00000164692.18,ENSG00000164692,COL1A2,-2.055658758,-2.738294411,-1.369998763,-2.058683101,collagen type I alpha 2 chain,"COL1A2 is a gene that encodes the pro-alpha2 chain of type I collagen, which is a fibril-forming collagen found in most connective tissues and is abundant in bone, cornea, dermis, and tendon. Mutations in this gene are associated with various conditions such as osteogenesis imperfecta types I-IV, Ehlers-Danlos syndrome type VIIB, recessive Ehlers-Danlos syndrome Classical type, idiopathic osteoporosis, and atypical Marfan syndrome. However, symptoms associated with mutations in this gene tend to be less severe than mutations in the gene for the alpha1 chain of type I collagen (COL1A1) due to the different role of alpha2 chains in matrix integrity. Three transcripts resulting from the use of alternate polyadenylation signals have been identified for this gene.","Mutations in COL1A2 have been linked to several diseases, including osteogenesis imperfecta (OI), Ehlers-Danlos syndrome (EDS), and idiopathic osteoporosis. OI is a genetic disorder characterized by brittle bones that are prone to fractures, while EDS is a group of inherited connective tissue disorders that affect the skin, joints, and blood vessels. Idiopathic osteoporosis is a condition in which bone density decreases without an apparent cause. 

Targeted drug discovery efforts for COL1A2-related diseases have focused on developing therapies that can improve bone density and strength. One example is the use of bisphosphonates, which are drugs that can slow down bone loss and reduce the risk of fractures in patients with OI and osteoporosis. Another approach is the use of recombinant human parathyroid hormone (rhPTH), which has been shown to increase bone density and reduce fracture risk in patients with OI. 

There are currently no drugs on the market that specifically target COL1A2, but several drugs are available for the treatment of related diseases. For example, bisphosphonates such as alendronate (Fosamax) and zoledronic acid (Reclast) are approved for the treatment of osteoporosis, while rhPTH (teriparatide, Forteo) is approved for the treatment of OI. In addition, there are several drugs available for the treatment of EDS-related symptoms, such as pain and joint hypermobility. These include nonsteroidal anti-inflammatory drugs (NSAIDs) and physical therapy.",GO:0070208 protein heterotrimerization;GO:0043589 skin morphogenesis;GO:0070206 protein trimerization,,Predicted secreted proteins; Human disease related genes:Musculoskeletal diseases:Skeletal diseases; Human disease related genes:Congenital malformations:Congenital malformations of skin; Human disease related genes:Congenital malformations:Congenital malformations of the musculoskeletal system; Disease related genes; Cancer-related genes:Candidate cancer biomarkers,Endoplasmic reticulum (Supported),Collagenase clostridium histolyticum,(M274)PID LYMPH ANGIOGENESIS PATHWAY; (M65)PID FRA PATHWAY; (M53)PID INTEGRIN3 PATHWAY,(M5942)HALLMARK UV RESPONSE DN; (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION
ENSG00000163359.16,ENSG00000163359,COL6A3,-2.02221652,-2.640145742,-1.50540105,-1.921102769,collagen type VI alpha 3 chain,"COL6A3 is a gene that encodes the alpha-3 chain of type VI collagen, a type of collagen found in most connective tissues. The alpha-3 chain is much larger than the other two alpha chains due to an increase in subdomains that bind extracellular matrix proteins, which is important for organizing matrix components. Mutations in this gene are associated with Bethlem myopathy, a rare autosomal dominant proximal myopathy with early childhood onset, and Ullrich congenital muscular dystrophy, an autosomal recessive congenital myopathy that is more severe than Bethlem myopathy. Multiple transcript variants have been identified, but the full-length nature of only some of these variants has been described.","Mutations in the COL6A3 gene have been associated with several muscular dystrophies, including Bethlem myopathy and Ullrich congenital muscular dystrophy. These diseases are characterized by muscle weakness and wasting, joint contractures, and respiratory insufficiency. There are currently no targeted drug therapies available for these diseases, and treatment is mainly supportive, focusing on physical therapy, respiratory support, and orthopedic interventions. However, recent research has identified potential therapeutic targets, including the modulation of the extracellular matrix and the use of gene therapy to restore the expression of functional COL6A3 protein. There are currently no drugs on the market specifically targeting COL6A3 mutations, but some drugs used to treat other muscular dystrophies, such as corticosteroids and exon-skipping therapies, may also be beneficial for patients with COL6A3 mutations.",GO:0043491 phosphatidylinositol 3-kinase/protein kinase B signal transduction;GO:0051402 neuron apoptotic process;GO:0009749 response to glucose,,Human disease related genes:Nervous system diseases:Other nervous and sensory system diseases; Human disease related genes:Musculoskeletal diseases:Muscular diseases; Predicted intracellular proteins; Predicted secreted proteins; Disease related genes,Endoplasmic reticulum (Approved); Additional: Vesicles,,(M5887)NABA BASEMENT MEMBRANES; (M3005)NABA COLLAGENS; (M198)PID SYNDECAN 1 PATHWAY,(M5909)HALLMARK MYOGENESIS; (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION
ENSG00000108821.14,ENSG00000108821,COL1A1,-1.986463619,-2.931100764,-1.473435392,-1.554854702,collagen type I alpha 1 chain,"COL1A1 is a gene that encodes the pro-alpha1 chains of type I collagen, which is a fibril-forming collagen found in most connective tissues and is abundant in bone, cornea, dermis, and tendon. The triple helix of type I collagen comprises two alpha1 chains and one alpha2 chain. Mutations in this gene are associated with several conditions, including osteogenesis imperfecta types I-IV, Ehlers-Danlos syndrome type VIIA, Ehlers-Danlos syndrome Classical type, Caffey Disease, and idiopathic osteoporosis. Reciprocal translocations between chromosomes 17 and 22, where this gene and the gene for platelet-derived growth factor beta are located, are associated with a particular type of skin tumor called dermatofibrosarcoma protuberans. Two transcripts resulting from the use of alternate polyadenylation signals have been identified for this gene.","Mutations in the COL1A1 gene are associated with several genetic disorders, including osteogenesis imperfecta (OI), Ehlers-Danlos syndrome (EDS), and idiopathic osteoporosis. OI is a rare genetic disorder characterized by brittle bones that are prone to fracture, while EDS is a group of inherited connective tissue disorders that affect the skin, joints, and blood vessels. Targeted drug discovery efforts for these disorders have focused on developing therapies that can improve bone density and strength, reduce the risk of fractures, and alleviate pain and other symptoms associated with these conditions. Currently, there are several drugs on the market that are used to treat OI and EDS, including bisphosphonates, teriparatide, and denosumab. These drugs work by increasing bone density and reducing the risk of fractures, and have been shown to be effective in improving the quality of life for patients with these conditions.",GO:0071306 cellular response to vitamin E;GO:1902618 cellular response to fluoride;GO:1902617 response to fluoride,,Predicted intracellular proteins; FDA approved drug targets:Biotech drugs; Predicted secreted proteins; Human disease related genes:Musculoskeletal diseases:Skeletal diseases; Human disease related genes:Congenital malformations:Congenital malformations of skin; Human disease related genes:Congenital malformations:Congenital malformations of the musculoskeletal system; Disease related genes; Cancer-related genes:Candidate cancer biomarkers,Endoplasmic reticulum (Approved); Additional: Vesicles,Collagenase clostridium histolyticum; Halofuginone; Clove oil; Vonicog Alfa; Von Willebrand Factor Human,(M274)PID LYMPH ANGIOGENESIS PATHWAY; (M53)PID INTEGRIN3 PATHWAY; (M3005)NABA COLLAGENS,(M5942)HALLMARK UV RESPONSE DN; (M5909)HALLMARK MYOGENESIS; (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION
ENSG00000137801.11,ENSG00000137801,THBS1,-1.938389139,-2.898410858,-1.629130878,-1.287625681,thrombospondin 1,"THBS1, also known as thrombospondin 1, is a gene that encodes for a protein that is involved in cell-to-cell and cell-to-matrix interactions. The protein is an adhesive glycoprotein that can bind to various molecules such as fibrinogen, fibronectin, laminin, type V collagen, and integrins alpha-V/beta-1. THBS1 has been shown to play roles in platelet aggregation, angiogenesis, and tumorigenesis. The protein is a subunit of a disulfide-linked homotrimeric protein. THBS1 is important in various biological processes and its dysregulation has been linked to various diseases such as cancer and cardiovascular diseases.","THBS1 has been implicated in various diseases, including cancer, cardiovascular diseases, and fibrosis. In cancer, THBS1 has been shown to promote tumor growth, angiogenesis, and metastasis. Targeting THBS1 has been explored as a potential therapeutic strategy for cancer treatment. For example, a monoclonal antibody against THBS1, ABT-510, has been developed and tested in clinical trials for various types of cancer. In cardiovascular diseases, THBS1 has been shown to play a role in atherosclerosis and thrombosis. Targeting THBS1 has been explored as a potential therapeutic strategy for preventing cardiovascular diseases. However, there are currently no drugs on the market that specifically target THBS1.",GO:0010751 negative regulation of nitric oxide mediated signal transduction;GO:0002581 negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II;GO:0002605 negative regulation of dendritic cell antigen processing and presentation,,Predicted secreted proteins; Candidate cardiovascular disease genes; Cancer-related genes:Candidate cancer biomarkers,Endoplasmic reticulum;Plasma membrane (Approved),,(M165)PID SYNDECAN 4 PATHWAY; (M277)PID INTEGRIN A4B1 PATHWAY; (M53)PID INTEGRIN3 PATHWAY,(M5896)HALLMARK TGF BETA SIGNALING; (M5946)HALLMARK COAGULATION; (M5930)HALLMARK EPITHELIAL MESENCHYMAL TRANSITION
ENSG00000176986.16,ENSG00000176986,SEC24C,-1.911010156,-2.741935859,-2.101963794,-0.889130816,"SEC24 homolog C, COPII coat complex component","SEC24C is a human gene that belongs to the SEC24 subfamily of the SEC23/SEC24 family, which is involved in vesicle trafficking. The gene encodes a protein that is similar to the yeast Sec24p component of COPII, the coat protein complex responsible for vesicle budding from the ER. The protein may play a role in shaping the vesicle, as well as in cargo selection and concentration. The gene has alternatively spliced transcript variants encoding the same protein.","There is limited information on the disease implications of SEC24C. However, studies have shown that mutations in SEC24C are associated with autosomal recessive osteogenesis imperfecta (OI), a genetic disorder characterized by brittle bones and increased susceptibility to fractures. Targeted drug discovery efforts for SEC24C are also limited, as the function of the protein is not fully understood. However, there have been some studies on the potential use of SEC24C inhibitors for the treatment of cancer, as the protein is involved in the transport of growth factor receptors. Currently, there are no drugs on the market that specifically target SEC24C. However, there are drugs that indirectly affect the protein, such as bortezomib, a proteasome inhibitor used in the treatment of multiple myeloma, which has been shown to affect the expression of SEC24C.",GO:0090110 COPII-coated vesicle cargo loading;GO:0035459 vesicle cargo loading;GO:0090114 COPII-coated vesicle budding,,Predicted intracellular proteins,Vesicles (Supported),,,
ENSG00000265660.1,ENSG00000265660,MIR4664,-1.901177467,-2.344436359,-2.501763306,-0.857332737,microRNA 4664,,,,,,,,,
ENSG00000020181.18,ENSG00000020181,ADGRA2,-1.900441637,-2.332684059,-1.594873439,-1.773767414,adhesion G protein-coupled receptor A2,"ADGRA2 is a human gene that encodes for adhesion G protein-coupled receptor A2. This gene is predicted to enable G protein-coupled receptor activity and is involved in the positive regulation of the canonical Wnt signaling pathway. ADGRA2 is also a part of the Wnt signalosome. The Wnt signaling pathway is important for various cellular processes, including embryonic development, tissue homeostasis, and cell differentiation. Dysregulation of this pathway has been linked to various diseases, including cancer. Therefore, understanding the function of ADGRA2 and its role in the Wnt signaling pathway may provide insights into the development and treatment of these diseases.","There is limited information available on the disease implications of ADGRA2. However, studies have suggested that dysregulation of the Wnt signaling pathway, in which ADGRA2 is involved, can lead to the development of various cancers, including colorectal cancer, breast cancer, and hepatocellular carcinoma. Therefore, ADGRA2 may have potential as a therapeutic target for these diseases.

Currently, there are no drugs specifically targeting ADGRA2. However, there are drugs that target the Wnt signaling pathway, such as porcupine inhibitors and tankyrase inhibitors. Porcupine inhibitors block the secretion of Wnt ligands, while tankyrase inhibitors inhibit the activity of tankyrase enzymes, which are involved in the regulation of the Wnt signaling pathway. Some examples of drugs targeting the Wnt signaling pathway include LGK974, ETC-1922159, and XAV939.

LGK974 is a porcupine inhibitor that has shown promising results in preclinical studies for the treatment of various cancers, including colorectal cancer and pancreatic cancer. ETC-1922159 is a tankyrase inhibitor that has shown efficacy in preclinical studies for the treatment of breast cancer and colorectal cancer. XAV939 is a tankyrase inhibitor that has been shown to inhibit the growth of hepatocellular carcinoma cells in preclinical studies.

Overall, while there is limited information available on the disease implications of ADGRA2, targeting the Wnt signaling pathway, in which ADGRA2 is involved, may have potential for the development of novel therapeutics for various cancers.",GO:0090210 regulation of establishment of blood-brain barrier;GO:1900747 negative regulation of vascular endothelial growth factor signaling pathway;GO:1902548 negative regulation of cellular response to vascular endothelial growth factor stimulus,,G-protein coupled receptors:Family 2 (B) receptors; G-protein coupled receptors:GPCRs excl olfactory receptors; Predicted intracellular proteins,Plasma membrane (Supported); Additional: Vesicles,,(M160)PID AVB3 INTEGRIN PATHWAY,(M5953)HALLMARK KRAS SIGNALING UP
